[633.067626953125, 634.8607788085938, 638;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.7294921875, 563.8701171875, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.6666870117188, 563.8701171875, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8846435546875, 638;
 587.6952514648438, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.80126953125, 638;
 587.6952514648438, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8246459960938, 638;
 587.6952514648438, 563.8701171875, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.6666870117188, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[633.104736328125, 634.8846435546875, 638;
 587.6952514648438, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.80126953125, 638;
 587.7009887695313, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[633.104736328125, 634.80126953125, 638;
 587.6952514648438, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[633.0294189453125, 634.8846435546875, 638;
 587.7009887695313, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.6666870117188, 563.8701171875, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[658.2935180664063, 659.4652709960938, 662.1209716796875;
 664.407958984375, 640.4444580078125, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.9187622070313, 638;
 587.7294921875, 563.9187622070313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.6666870117188, 563.8461303710938, 517.2260131835938]	[633.104736328125, 634.80126953125, 638;
 587.6952514648438, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.7294921875, 563.8701171875, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8246459960938, 638;
 587.7009887695313, 563.8701171875, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.80126953125, 638;
 587.7009887695313, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.7294921875, 563.8701171875, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.7294921875, 563.8701171875, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.80126953125, 638;
 587.6952514648438, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.80126953125, 638;
 587.6952514648438, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8846435546875, 638;
 587.7009887695313, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8846435546875, 638;
 587.6952514648438, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8846435546875, 638;
 587.7009887695313, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8846435546875, 638;
 587.6952514648438, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8846435546875, 638;
 587.7009887695313, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.9187622070313, 638;
 587.7009887695313, 563.9187622070313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8846435546875, 638;
 587.7009887695313, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8846435546875, 638;
 587.7294921875, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.6666870117188, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5211181640625, 662.1209716796875;
 664.407958984375, 640.408447265625, 593.35693359375]	[633.104736328125, 634.8846435546875, 638;
 587.6952514648438, 563.8461303710938, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.8607788085938, 638;
 587.7009887695313, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9430541992188, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.55712890625, 662.1209716796875;
 664.3671264648438, 640.3499755859375, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.6666870117188, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.4652709960938, 662.1209716796875;
 664.407958984375, 640.4444580078125, 593.35693359375]	[658.2935180664063, 659.5211181640625, 662.1209716796875;
 664.407958984375, 640.408447265625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8246459960938, 638;
 587.6666870117188, 563.8701171875, 517.2260131835938]	[658.2125854492188, 659.5347290039063, 662.1209716796875;
 664.3671264648438, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.4652709960938, 662.1209716796875;
 664.407958984375, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5347290039063, 662.1209716796875;
 664.407958984375, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.0294189453125, 634.80126953125, 638;
 587.7009887695313, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.5211181640625, 662.1209716796875;
 664.3671264648438, 640.408447265625, 593.35693359375]	[633.0294189453125, 634.80126953125, 638;
 587.7009887695313, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.80126953125, 638;
 587.7294921875, 563.9295043945313, 517.2260131835938]	[658.2125854492188, 659.5, 662.1209716796875;
 664.3671264648438, 640.3873291015625, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.4652709960938, 662.1209716796875;
 664.407958984375, 640.4444580078125, 593.35693359375]	[633.067626953125, 634.8607788085938, 638;
 587.7294921875, 563.9050903320313, 517.2260131835938]	[658.2935180664063, 659.55712890625, 662.1209716796875;
 664.407958984375, 640.3499755859375, 593.35693359375]	[633.0294189453125, 634.80126953125, 638;
 587.7009887695313, 563.9295043945313, 517.2260131835938]	[658.2935180664063, 659.5, 662.1209716796875;
 664.407958984375, 640.3873291015625, 593.35693359375]	[633.104736328125, 634.8607788085938, 638;
 587.6952514648438, 563.9050903320313, 517.2260131835938]	[658.2125854492188, 659.4652709960938, 662.1209716796875;
