5
	-110,4301838744957	247,9305135165199	883,0959645542936
	-110,4301838744957	247,9305135165199	883,0959645542936
	-110,433025676706	247,6370986416191	882,5083015945698
	-110,2701517542307	247,5281057048265	882,2279125619
	-111,1178196957299	248,0070242489665	883,3291411667129
	-109,9002738673014	247,5260011026824	882,3340488641013
	-109,3803475114061	247,4193950154208	882,018072666326
	-109,4185799533409	247,2315950190066	881,6476543926817
	-110,0347187087661	248,0312313010851	883,6929983308924
	-109,5634015882675	247,5786853568011	882,4592641931013
	-109,8437854323856	247,6397949152451	882,5730157098603
	-109,5732567385752	247,5357001599662	882,2882722917766
	-109,2185315474282	247,1260823016468	881,1683667081666
	-109,8605759140159	247,4914859579609	882,1315512267007
	-109,4174781393809	247,1679100811955	881,230699734883
	-109,5708430260091	247,7571226644336	882,9576357428557
	-109,7759607183237	247,5097588319903	882,1652753835705
	-109,5576775292022	247,3234352523114	881,7140210975971
	-109,6952504817534	247,5475632116884	882,2648467173138
	-109,7417347914362	247,6579877099198	882,6221517715903
	-109,8939194826113	247,7530138002195	882,9219208649587
	-109,9433385340216	247,9792031895821	883,5610975117283
	-109,4578382540378	247,3587140378754	881,804000791355
	-109,7082723740924	247,3708473465809	881,7562692551467
	-109,5083976403666	247,5921385573828	882,4761654890639
	-109,4529704753514	247,4882544790889	882,2302752392122
	-109,8202638578275	247,8249844016576	883,0886435397756
	-109,7688542397579	247,5624938478525	882,3240656979422
6
	-162,23078383642	248,9943709160048	874,802818626096
	-160,952857390415	248,8769227488241	875,4327347359109
	-162,9805569106039	249,4937628925666	875,9632299870115
	-161,1521554809413	248,8491082243346	875,2617952968175
	-162,3482741575436	249,2718605901251	875,5479936206378
	-161,5850679656847	249,0152690394972	875,4543976631951
	-162,6082380608579	249,5746681958187	876,602639919201
	-161,9708057861486	249,0466701932416	874,9476819845945
	-162,1315267739002	249,4079443927148	876,6215579238627
	-161,3265934734812	248,8192343225253	874,6068452420958
	-162,5189882814574	249,2402784947389	874,7878399342183
	-163,0599245041479	249,8032163039612	877,5718143658981
	-163,1879269740998	249,8165187542166	877,4954672165277
	-161,5106033776406	248,7975433170976	874,1688958072596
	-161,6532985393052	249,0017122275814	875,156781203313
	-161,7115084296538	249,0351456264737	875,308034613656
	-162,1510067008433	249,2593379568021	875,9264113229505
	-162,8798231786952	249,5602667580354	876,0685061825944
	-161,8815807085525	249,3120989044531	876,5863066104187
	-162,1245138262987	249,2925486851978	876,3102091891901
	-162,2186388515469	249,3681929434419	876,3603895767858
	-161,9857952261267	249,2068535764697	875,7461400825418
	-161,892881702258	248,9865089307547	874,762607246761
	-162,2612466462354	249,4027452815467	876,3138153075628
	-162,0903353203489	249,1512212128624	875,9875006348803
16
	-225,0183575566565	251,7711711596159	907,4794076841914
	-226,3459676815624	251,8549516637745	907,01219678424
	-227,9410031251775	252,0496001598642	909,4678063291495
	-226,2025803994127	251,8383218157177	906,7708649619995
	-226,9238157606688	251,9519632678207	908,3947408180624
	-226,3896968096631	251,8702516634124	907,0872420165426
	-227,3430472876171	251,9197723849841	907,0151909214283
	-227,5157081900356	252,0008681735933	908,9906872884811
	-226,9690133964159	251,9384261016797	907,8783114012505
	-226,9546230906344	251,9136465908027	908,2562467572553
	-227,2330730637376	252,0081134121372	909,0157194722725
	-227,463174568201	252,0001700784375	908,297995137798
	-224,7070317125984	251,6846703531168	905,963541324352
	-226,4649948531894	251,9705967337902	909,8533625551703
	-226,998744917088	251,9572194016314	909,0643914024191
	-227,1988344888776	252,0284263967069	909,4350429904945
	-225,123052631965	251,7183234321479	905,6036728728824
	-225,1395929380983	251,7758522752978	906,6845950059587
	-228,993943064221	252,1700956752383	912,4806000229358
	-226,766971577546	251,9298525780678	907,9418903357729
	-225,9291323834622	251,8695031464412	906,8455390628487
	-226,5579782349832	251,9846029736503	909,3840538674302
	-226,6430958225207	251,9220820989474	908,3122459963932
	-225,6289812681024	251,8399151211736	907,0871003323841
	-227,1575422891253	252,0319631676998	909,7633024013102
	-225,078879221907	251,7375802845454	905,1678258749266
	-226,2452453876793	251,8201435548058	905,9541521274562
	-227,1665662966092	252,0682640982648	911,4891882889325
	-226,3510732506726	251,9028111064173	907,7143235143558
	-227,3729071193709	252,0778491538103	911,3761448312795
	-226,6945531527081	251,9445611187355	908,3955022132766
	-227,1907775600939	252,0285453134779	910,3134722154298
	-226,6485013792938	251,862490279113	907,164177882756
	-226,6276969896634	251,8472257847685	906,5971054407047
	-226,9609433702298	251,918786014331	907,6592001059454
	-226,1619312138503	251,8666480416662	907,2430112746138
	-226,925978632976	251,8975626661863	907,4200786302697
	-227,8370400919122	252,0324048119734	909,1260027312478
	-226,3735502357988	252,0683578101824	909,3217632299969
17
	-225,4746926584669	251,6430348480314	906,4320075196802
	-70,2713771578814	247,338191635868	956,8905667279563
	-70,75768560733223	247,5124309757611	957,6811226157254
	-71,30501754696631	247,9511907367362	959,5711847769679
